mass1 	 log posteriorMass1 	 mass2 	 log posteriorMass2
43.3	2.60718134057e-141	43.3	3.54335880662e-135
43.4	7.9889828909e-151	43.4	6.27073611755e-247
43.5	1.57666979831e-137	43.5	2.69036313331e-125
43.6	7.04553288886e-112	43.6	9.25233844171e-232
43.7	2.25596139697e-135	43.7	1.76258612227e-234
43.8	7.34715164776e-153	43.8	3.69405111205e-137
43.9	2.33234603815e-120	43.9	2.15228705993e-100
44.0	3.54335880663e-135	44.0	3.11724627272e-246
44.1	1.7058883546e-125	44.1	1.10782022739e-130
44.2	5.73909258564e-167	44.2	1.55335178508e-242
44.3	5.646570486e-145	44.3	1.65843253318e-221
44.4	1.73817330358e-146	44.4	3.35106355357e-106
44.5	3.81533760216e-129	44.5	8.41164185441e-212
44.6	1.45554592389e-155	44.6	2.27285918522e-160
44.7	2.02242863899e-126	44.7	4.16986022478e-117
44.8	1.67953657843e-122	44.8	8.60636911941e-114
44.9	1.23965252251e-101	44.9	1.74466235744e-112
45.0	3.11236585673e-159	45.0	5.83261576696e-243
45.1	1.56436728791e-108	45.1	1.77476288665e-243
45.2	1.13108773541e-120	45.2	1.21753995568e-99
45.3	2.39318663951e-123	45.3	2.14915596703e-150
45.4	3.31506727299e-93	45.4	2.10445250386e-107
45.5	4.78965368874e-101	45.5	4.24207915873e-230
45.6	1.22840817258e-110	45.6	1.89731869458e-205
45.7	2.7408697732e-72	45.7	5.25711794945e-225
45.8	2.9816816829e-142	45.8	1.89983460267e-247
45.9	1.4894260466e-55	45.9	1.80812234477e-243
46.0	3.35322798092e-106	46.0	6.2168125638e-109
46.1	1.14097897321e-38	46.1	9.19351004461e-213
46.2	1.55023365717e-115	46.2	1.46672098286e-134
46.3	9.79916747208e-114	46.3	4.62352269281e-252
46.4	3.20868717187e-75	46.4	5.30454954213e-253
46.5	1.14509183313e-72	46.5	1.48646104878e-170
46.6	6.40526665079e-106	46.6	7.60225731924e-105
46.7	2.33536011001e-62	46.7	2.34929753353e-101
46.8	1.25700579929e-36	46.8	1.0676515451e-258
46.9	8.35583885902e-41	46.9	5.90984912748e-139
47.0	1.23626516754e-41	47.0	1.69424111729e-243
47.1	2.12656240353e-61	47.1	5.11245556723e-250
47.2	1.82572223738e-41	47.2	1.81430340448e-238
47.3	8.76008832672e-51	47.3	1.48293520857e-216
47.4	5.58763665167e-46	47.4	1.47031089911e-251
47.5	6.05253037116e-15	47.5	7.18375583199e-108
47.6	7.34661875459e-16	47.6	9.64258446784e-262
47.7	3.64055696711e-16	47.7	4.60210734213e-201
47.8	1.92688662339e-08	47.8	7.21919827014e-222
47.9	7.03617301819e-07	47.9	1.76308272442e-256
48.0	1.65984508516e-21	48.0	3.73117372016e-267
48.1	8.01412341022e-12	48.1	1.6051811483e-248
48.2	1.05574065074e-18	48.2	3.282783962e-244
48.3	5.45522907129e-20	48.3	4.63287984005e-156
48.4	2.89184634989e-19	48.4	1.39270262164e-242
48.5	2.51116018708e-06	48.5	3.32010998022e-276
48.6	3.26937924329e-19	48.6	2.3801502016e-261
48.7	9.54828116694e-20	48.7	1.77009544108e-258
48.8	3.01477288878e-10	48.8	1.27827272882e-248
48.9	3.93116444305e-26	48.9	1.73921621573e-260
49.0	7.51576845353e-24	49.0	1.23556961877e-289
49.1	6.22587266969e-25	49.1	1.36054610455e-278
49.2	1.08096240198e-26	49.2	1.65844812009e-277
49.3	3.26517172096e-21	49.3	1.19374797249e-291
49.4	1.7396913192e-31	49.4	8.6846535321e-288
49.5	1.87174164495e-23	49.5	0.0
49.6	3.41109610839e-36	49.6	3.93944791217e-286
49.7	1.49703486237e-38	49.7	0.0
49.8	1.64236862934e-41	49.8	0.0
49.9	4.38776306792e-44	49.9	0.0
