L1_cplx_snr_amp	L1_cplx_snr_arg	L1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	a1	a2	mc	costheta_jn	dec	deltalogL	deltaloglL1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	tilt1	tilt2	time	
1.30230412326023e+00	9.78037943162950e-02	1.43042112812846e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.92368898951882e-01	3.26796666021418e-01	1.56597908227299e+01	4.47153878757721e-01	9.72544222017935e-01	8.30888540617707e-01	8.30888540617707e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978284758107e+03	1.29076995960438e+01	6.41917057498154e+00	-8.54766055833717e+00	1.29608043817259e+00	1.43042112812846e+00	1.16644563923732e+00	6.12820910572387e+00	2.15720230556525e+00	1.75910773359367e+00	0.00000000000000e+00	3.11049358267332e-01	3.33534549654396e+00	1.00000000000000e+00	1.43074237437173e+00	2.15905494916144e+00	1.12849707787973e+09	
2.02883410730233e+00	5.35373585156511e-01	2.91988165698636e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.19613228133563e-01	1.20530913770721e-01	1.92772689281228e+01	-1.63381690125758e-01	-2.70754098020421e-01	8.32209942404916e-01	8.32209942404916e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978152617929e+03	1.47518727644788e+01	6.84454818527574e+00	-9.06797142474196e+00	1.74495578463484e+00	2.91988165698636e+00	5.58884493037568e+00	2.12712279119481e+00	5.50715402680330e+00	2.21544282347891e+00	0.00000000000000e+00	1.64056202134901e-01	3.40909822140588e+00	1.00000000000000e+00	2.20712615871780e+00	1.78090993544399e+00	1.12849707798847e+09	
1.68920026389692e+00	6.43646427091904e-01	1.75269686115333e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	3.85084667134680e-02	7.15068474230734e-01	1.86654493033134e+01	2.85582686206636e-01	2.67799880820100e-01	8.32293489261701e-01	8.32293489261701e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978144263243e+03	1.58017393856413e+01	7.57104386825164e+00	-8.96217223108010e+00	1.35121291382442e+00	1.75269686115333e+00	5.62749250300651e+00	5.14902404402053e+00	6.24877064567054e+00	2.76479820162110e+00	0.00000000000000e+00	1.42364494248403e-01	7.31914839760940e-01	1.00000000000000e+00	1.73542803344987e+00	1.83114174162801e+00	1.12849707799503e+09	
1.70899172534691e+00	6.37470744141835e-01	9.04141445045841e-01	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.46566518646311e-01	6.93978942139962e-01	2.09362433468945e+01	9.59803546363991e-01	-7.67424492554856e-01	8.32968576155963e-01	8.32968576155963e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978076754554e+03	1.26849209194507e+01	7.23286269326360e+00	-8.98311829413186e+00	1.37335198965228e+00	9.04141445045841e-01	3.31032054752916e+00	4.27032300174280e+00	5.41889734089804e+00	2.01238116709207e+00	0.00000000000000e+00	4.39928819146339e-01	6.27448895095555e+00	1.00000000000000e+00	1.90569135617600e+00	2.67583167251463e-01	1.12849707795405e+09	
1.55510842615188e+00	-2.12378098425917e-01	2.32306421895705e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.77077462398643e-01	7.91036170265771e-01	2.00149840982915e+01	7.36646809848089e-01	-1.93438507085271e-01	8.33136272261072e-01	8.33136272261072e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978059984943e+03	1.44824710471698e+01	7.10112624176566e+00	-9.25881170044775e+00	1.52016888992665e+00	2.32306421895705e+00	1.36075735509509e-01	2.50043572870783e+00	2.03249267941081e+00	1.69709124799165e+00	0.00000000000000e+00	2.85165920432979e-01	2.58564742953210e+00	1.00000000000000e+00	2.03773179961409e+00	1.97681521632818e+00	1.12849707783320e+09	
1.77773293265095e+00	3.79256736015543e-01	2.68045228666080e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.90391371714717e-01	3.61291998871696e-01	2.18026970806615e+01	-2.61342348319100e-01	-7.78886168010667e-01	8.34106394214359e-01	8.34106394214359e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00977962972748e+03	1.35617552166291e+01	7.17535060320772e+00	-9.18842706639075e+00	1.65140735642831e+00	2.68045228666080e+00	1.94518985329890e-01	4.37206463738203e+00	1.23717000721859e+00	2.78521403908715e+00	0.00000000000000e+00	4.43533653081982e-01	3.61418034685057e+00	1.00000000000000e+00	8.96201709000982e-01	9.22917325166357e-01	1.12849707789452e+09	
2.26783083555290e+00	-8.21800735509119e-01	6.98698047606464e-01	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.42538332569320e-02	8.21742200897360e-01	1.80186284074412e+01	1.80911386266055e-01	6.87611652477276e-01	8.34821848094180e-01	8.34821848094180e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00977891427360e+03	1.42431388418580e+01	7.19890660445335e+00	-8.31518793285350e+00	1.54417395705463e+00	6.98698047606464e-01	5.32429745651878e+00	4.70764296445473e-01	2.76151433368817e+00	3.99886237424468e-01	0.00000000000000e+00	2.27070107305803e-01	2.70624350578968e+00	1.00000000000000e+00	9.25188479172096e-01	9.29833181976028e-01	1.12849707794327e+09	
1.41612056134764e+00	-3.06196312569994e-01	9.63841402804659e-01	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.39993834107674e-01	1.29069897918499e-01	1.40532004349202e+01	4.21164690534200e-03	4.02155953581884e-01	8.36934217824819e-01	8.36934217824819e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00977680190387e+03	1.22788593463578e+01	7.41083970576786e+00	-8.20488538122984e+00	1.35025258192713e+00	9.63841402804659e-01	3.73992885277624e+00	1.23896905818978e-01	5.57442366133180e+00	1.50027190480588e+00	0.00000000000000e+00	4.42098130701077e-01	1.81219111422458e+00	1.00000000000000e+00	2.96775587478525e+00	1.90994126515325e+00	1.12849707799240e+09	
1.64567589631654e+00	-6.28358318029639e-01	1.63987679122006e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.82038400549250e-02	4.40452590750490e-02	1.72210896415936e+01	-3.47387688054511e-01	-6.62304940433390e-01	8.38637720865790e-01	8.38637720865790e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00977509840083e+03	1.36238120178886e+01	6.99329476259603e+00	-7.51625807202046e+00	1.33134127987289e+00	1.63987679122006e+00	1.77935637448254e+00	5.11422882308865e+00	2.45817167473705e+00	2.98561073535865e-01	0.00000000000000e+00	4.13309477582534e-01	9.91683050091552e-01	1.00000000000000e+00	1.73080934380544e+00	1.02070159691682e+00	1.12849707784286e+09	
1.48226541039688e+00	-4.33651428034883e-01	9.85185185685867e-01	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.25787863964665e-01	2.60499804059822e-01	1.35868488405150e+01	-4.26236412397390e-01	1.26424067000927e+00	8.39841460308890e-01	8.39841460308890e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00977389466138e+03	1.18315812996107e+01	7.19945951519529e+00	-9.47350120455562e+00	1.34506324761043e+00	9.85185185685867e-01	1.14592250078793e+00	6.00228571129338e+00	3.85179289307842e+00	1.05587181893206e+00	0.00000000000000e+00	2.35553101287010e-01	2.79239238097338e+00	1.00000000000000e+00	2.77179949192510e+00	5.96615588340062e-01	1.12849707789277e+09	
