H1_cplx_snr_amp	H1_cplx_snr_arg	H1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	a1	a2	mc	costheta_jn	dec	deltalogL	deltaloglH1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	tilt1	tilt2	time	
1.76119870981985e+00	3.95573423134852e-01	1.76684470037485e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	5.17897186578622e-01	6.54864801206257e-01	1.33292744626697e+01	1.72791989212480e-02	-5.21841031055380e-02	1.31059083585478e+00	1.31059083585478e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92357909873672e+03	1.43769459047063e+01	6.92091447495660e+00	-8.85128731022641e+00	1.62519146864852e+00	1.76684470037485e+00	6.29434315186879e-01	1.84743703384462e+00	4.10242766280359e+00	1.08927720545010e+00	0.00000000000000e+00	1.39514863197578e-01	6.05150189713456e-01	1.00000000000000e+00	1.36598123294644e+00	2.50707785262263e+00	1.12909754280185e+09	
1.64938210896239e+00	9.10606601494130e-02	1.89993758126211e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.75026368880050e-02	2.86998568623209e-01	2.17590758589164e+01	-3.27096012803637e-01	-5.75444433699622e-01	1.31585813925085e+00	1.31585813925085e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92357383143332e+03	1.39320012170734e+01	7.20520761993783e+00	-6.23930102859382e+00	1.64254845863079e+00	1.89993758126211e+00	3.80692737883329e+00	3.21084858266965e+00	5.79482857028892e+00	8.24272542014201e-01	0.00000000000000e+00	4.62642669234364e-01	4.90907299784330e-01	1.00000000000000e+00	1.96608073241327e+00	2.13779581425734e+00	1.12909754280435e+09	
2.23218862506812e+00	6.67334936923725e-01	2.41257534445794e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.36109648225130e-02	3.80380438337507e-01	2.00576071116003e+01	-3.97246283808504e-01	-1.01525780766260e+00	1.31977066807531e+00	1.31977066807531e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92356991890450e+03	1.35243194344291e+01	7.44622594757399e+00	-8.99452213920484e+00	1.75332578695849e+00	2.41257534445794e+00	4.29721849447338e+00	2.83177579498477e+00	5.62701991349681e+00	2.14968621425436e+00	0.00000000000000e+00	5.25229293429541e-01	1.53350257623262e+00	1.00000000000000e+00	1.83853353864446e+00	2.15560000531307e+00	1.12909754274447e+09	
1.75556319453146e+00	3.59643459709069e-01	1.52458234332813e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.44082455570704e-01	8.35854550172613e-01	1.79065008858487e+01	-4.96705543155187e-01	-1.97928935164440e-02	1.34308880430444e+00	1.34308880430444e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92354660076827e+03	1.36268884205128e+01	6.92858879047900e+00	-9.79170286686636e+00	1.64324641175450e+00	1.52458234332813e+00	2.58593979853542e+00	1.24973022680010e-02	3.71060251024657e+00	3.05769982666684e+00	0.00000000000000e+00	4.82972258030921e-01	1.72034697429530e+00	1.00000000000000e+00	2.16929810548464e+00	1.78182295232131e+00	1.12909754279512e+09	
2.01460773116901e+00	-6.11091614149416e-01	1.73391371348109e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.24565682357752e-01	3.19513705223470e-01	1.34156513419035e+01	-9.94437326431528e-01	6.81673734032170e-02	1.35774383452963e+00	1.35774383452963e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92353194573804e+03	1.29810324711254e+01	7.28609598745404e+00	-8.66446219104823e+00	1.65000841459689e+00	1.73391371348109e+00	2.97943055571524e+00	3.52943106836726e+00	3.47753228861414e+00	2.53703807895330e+00	0.00000000000000e+00	9.71857485733973e-01	4.90287587823648e+00	1.00000000000000e+00	1.05607210576853e+00	1.91921932600505e+00	1.12909754280489e+09	
2.01544466882487e+00	-3.85830647564065e-01	1.01350411199978e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.09082696237322e-01	3.17548721247480e-01	1.42069619183102e+01	2.64440425562853e-01	5.50262003326637e-01	1.37890227034632e+00	1.37890227034632e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92351078730223e+03	1.21019481643523e+01	7.40279575552353e+00	-9.33886298438019e+00	1.86728158323136e+00	1.01350411199978e+00	1.96854517230865e+00	4.26716636157229e+00	3.95924246047613e+00	2.75780488700958e+00	0.00000000000000e+00	3.15177871248686e-01	5.37737850191266e+00	1.00000000000000e+00	1.02145304562451e-01	1.64329102552596e+00	1.12909754287762e+09	
1.95748647564354e+00	5.47157457262136e-01	1.58291695209390e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.79085549840553e-01	4.50342316494296e-01	1.69046114873581e+01	-8.26916888722216e-01	3.00788753503201e-01	1.39336004596635e+00	1.39336004596635e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92349632952661e+03	1.35423862565589e+01	7.52345396924757e+00	-9.08094830233800e+00	1.67170683280587e+00	1.58291695209390e+00	3.52100433861361e+00	3.08156635548946e+00	4.78474661021875e+00	2.94425992328052e-01	0.00000000000000e+00	1.79648199578645e-01	3.31743158119645e+00	1.00000000000000e+00	2.98173208345523e+00	1.26683209492267e+00	1.12909754277976e+09	
1.80422556608201e+00	-3.45731855378085e-01	2.00304474225664e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	9.73845572057780e-02	8.56958042154176e-01	2.08434548725262e+01	3.62280765306793e-01	-3.78509280196630e-01	1.39400496631515e+00	1.39400496631515e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92349568460626e+03	1.57956113707639e+01	7.43344506120432e+00	-6.23930102859382e+00	1.69746537075628e+00	2.00304474225664e+00	5.78370767760932e+00	3.12079982617740e+00	5.21109591646559e+00	1.31387452791052e+00	0.00000000000000e+00	1.19958297969974e-01	3.37111969364290e+00	1.00000000000000e+00	1.85847233747308e+00	1.04471234679341e+00	1.12909754280813e+09	
2.21977038101156e+00	-1.36756921022872e-01	7.68267297993746e-01	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.21661823412811e-01	4.66268828591056e-01	1.85771170476265e+01	-6.58768845928010e-02	8.65005960642032e-01	1.39433714267807e+00	1.39433714267807e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92349535242989e+03	1.47206695745008e+01	7.34836916261890e+00	-9.72312999560801e+00	2.19904513399610e+00	7.68267297993746e-01	2.87645433941813e+00	6.08217653031644e+00	2.87281885405140e+00	2.02359468940990e+00	0.00000000000000e+00	2.15007551753145e-01	3.46387569085106e+00	1.00000000000000e+00	1.38188762210576e+00	1.38732331417058e+00	1.12909754285177e+09	
2.26721918299681e+00	-7.37433109819454e-01	1.84244930938625e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.30522627007507e-01	3.28244067403751e-01	1.99694681585027e+01	3.37802971593950e-02	1.04614399701597e+00	1.39466791459563e+00	1.39466791459563e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92349502165798e+03	1.26170784803056e+01	7.34462447000988e+00	-6.23930102859382e+00	1.67818871741681e+00	1.84244930938625e+00	6.33653219734148e-01	5.42849176063988e+00	1.12771216298782e+00	8.46791552703892e-01	0.00000000000000e+00	9.15524698348754e-01	5.40061727639683e+00	1.00000000000000e+00	1.96754821846975e+00	2.31950923415756e+00	1.12909754291312e+09	
2.05965749024986e+00	2.66926662598360e-02	3.25694807117129e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.40251035754627e-01	7.46283917734826e-01	1.94733862142651e+01	-6.84910166685647e-01	-2.22126878027728e-01	1.40195247278280e+00	1.40195247278280e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92348773709979e+03	1.47928026394776e+01	7.43919785919575e+00	-6.23930102859382e+00	2.05892378244903e+00	3.25694807117129e+00	4.11819211756945e+00	5.15410261397005e+00	6.21282308601735e+00	2.80452481204183e+00	0.00000000000000e+00	1.83903893699521e-01	3.65548837959204e+00	1.00000000000000e+00	5.29425054326931e-01	1.64444564402314e+00	1.12909754292509e+09	
2.71830055217458e+00	1.07366049615604e-01	5.82100635791019e-01	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.24127301694584e-01	5.62234406677729e-01	1.93981315635844e+01	-8.85224289887490e-02	3.75415698164704e-01	1.40379256431697e+00	1.40379256431697e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92348589700826e+03	1.35503649271045e+01	7.43860374310985e+00	-9.43985049278989e+00	2.70264803485954e+00	5.82100635791019e-01	6.41912253344706e-01	4.56167111111670e+00	1.11380493961038e+00	2.34171689243147e+00	0.00000000000000e+00	7.63057726326844e-01	4.62320398650018e+00	1.00000000000000e+00	8.04570960117020e-01	1.53851633018675e+00	1.12909754276732e+09	
1.99499380232389e+00	-3.39350964442219e-01	2.73046176237670e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.48557461278512e-01	5.57554118119630e-01	1.34190901462691e+01	-1.21397768786400e-01	-1.10286375861894e+00	1.40889163067095e+00	1.40889163067095e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92348079794190e+03	1.26080211626963e+01	7.03299479025378e+00	-6.23930102859382e+00	1.88122112506739e+00	2.73046176237670e+00	3.48623082066856e-01	5.95867946350806e+00	5.24083769761504e+00	2.05280925034378e+00	0.00000000000000e+00	4.70565313616971e-01	3.68243111069496e+00	1.00000000000000e+00	1.68789065221756e+00	8.64806533184799e-01	1.12909754283561e+09	
1.84940922638317e+00	1.97145258392352e-01	2.43682698794137e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.99923353835801e-01	5.55073542262748e-01	1.52935247242988e+01	3.97712947657260e-01	4.06597746032089e-01	1.45033163591461e+00	1.45033163591461e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92343935793666e+03	1.22249918477597e+01	6.61558437068780e+00	-9.67647655283554e+00	1.81358567611220e+00	2.43682698794137e+00	1.60903874078406e+00	6.01259815949277e+00	1.09232571937684e+00	6.03683178470551e-01	0.00000000000000e+00	8.28223032543443e-01	2.93040945269831e+00	1.00000000000000e+00	1.07826794922237e+00	7.62813060844167e-01	1.12909754291636e+09	
2.37143129775302e+00	-1.19677628953943e-01	7.34474275225796e-01	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.26164823070100e-01	1.69214692958911e-01	1.53248970417536e+01	8.41108319320551e-01	9.58516678050420e-01	1.45957058421118e+00	1.45957058421118e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92343011898836e+03	1.37959665243124e+01	7.55492211671087e+00	-9.88943119127029e+00	2.35446886708723e+00	7.34474275225796e-01	4.53755109416131e+00	9.20265053503789e-01	6.11349141366892e-01	2.08757368567384e+00	0.00000000000000e+00	2.58515680263127e-01	2.84104385047315e+00	1.00000000000000e+00	1.83749930600036e+00	2.56694674255423e+00	1.12909754281591e+09	
1.99211957161559e+00	4.08513839674173e-01	2.46353388324248e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.50061912895923e-01	5.43440891049666e-01	1.83037685299024e+01	5.60574036150610e-01	-7.70227823851921e-01	1.46931444623169e+00	1.46931444623169e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92342037512634e+03	1.32633820314806e+01	6.82361475161338e+00	-9.30489915464701e+00	1.82819244898940e+00	2.46353388324248e+00	2.94562613059300e+00	6.22681291348069e+00	4.25637880323569e+00	1.15442181594767e+00	0.00000000000000e+00	1.56083328664887e-01	1.89507099664575e+00	1.00000000000000e+00	2.87770620136255e+00	1.95183945619438e+00	1.12909754286920e+09	
1.87711490140891e+00	1.73973956665582e-01	2.53132668798547e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.13395830563780e-01	8.65123663614730e-02	2.00309207249886e+01	-8.21799559234309e-01	-2.46349742745585e-01	1.47605677768524e+00	1.47605677768524e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92341363279489e+03	1.48086466587237e+01	7.05563772073326e+00	-6.23930102859382e+00	1.84877921943116e+00	2.53132668798547e+00	2.90325833677498e+00	3.07604418948499e+00	5.57504439754691e+00	2.70133304126852e+00	0.00000000000000e+00	1.68917855230901e-01	4.88516856481837e+00	1.00000000000000e+00	7.86085424203696e-01	1.91347346111211e+00	1.12909754284787e+09	
