FAR	SNR	HTime	LTime	HminusL
1.68e-10	10.3	1127549669.97	1129094999.07	-1550000
4.81e-11	10.55	1127536358.64	1128051611.93	-515253.29
2.54e-07	9.119999999999999	1127523212.58	1127631370.68	-108000
1.48e-10	10.33	1127522744.5	1127199946.31	323000
3.45e-11	10.6	1127514977.75	1129218199.24	-1703221.49
1.33e-07	9.220000000000001	1127514561.97	1128443929.06	-929367.09
5.999999999999999e-08	9.34	1127514516.08	1127402558.68	112000
2.08e-10	10.26	1127512704.75	1127981622.85	-468918.1
1.08e-10	10.39	1127482452.16	1128241320.65	-758868.49
1.04e-07	9.26	1127477587.89	1128163288.39	-686000
2.52e-07	9.119999999999999	1127460422	1128755087.5	-1294665.5
4.96e-08	9.369999999999999	1127458533.8	1128918253.9	-1459720.1
1.04e-08	9.609999999999999	1127434694.13	1127131411.82	303000
1.21e-10	10.37	1127434682.83	1127985949.52	-551000
9.78e-08	9.27	1127433122.83	1127394945.12	38177.7
1.64e-07	9.19	1127433034.29	1129008672.89	-1580000
1.6e-10	10.31	1127407387.5	1126768498.11	639000
2.44e-07	9.130000000000001	1127406380.06	1128318763.96	-912383.9
1.29e-07	9.23	1127405363.34	1128829825.45	-1424462.11
1.86e-10	10.28	1127394653.64	1129107452.96	-1710000
1.96e-10	10.27	1127389906.76	1129341285.56	-1951378.8
4.44e-08	9.390000000000001	1127385788.18	1129331322.47	-1945534.29
8.61e-08	9.289999999999999	1127376114.99	1127607455.18	-231000
7.96e-08	9.300000000000001	1127370820.53	1126804615.42	566205.11
2.58e-07	9.119999999999999	1127370445.59	1127356067.59	14400
9.520000000000001e-08	9.27	1127367149.22	1129380939.53	-2013790.31
1.84e-10	10.28	1127365568.72	1127017879.82	347688.9
2.5e-07	9.119999999999999	1127270292.37	1127738801.78	-469000
1.63e-10	10.31	1127262287.96	1129253899.47	-1991611.51
1.06e-07	9.26	1127261423.39	1126752884.49	508538.9
8.869999999999999e-08	9.279999999999999	1127259415.1	1126754114.29	505300.81
1.25e-07	9.23	1127259176.72	1128275179.13	-1020000
2.07e-10	10.26	1127254296.83	1127977660.94	-723000
1.94e-07	9.16	1127253723.87	1127362391.88	-108668.01
2.24e-07	9.140000000000001	1127253722.89	1128826739.89	-1570000
1.17e-07	9.24	1127253716.57	1128738443.17	-1480000
1.3e-07	9.220000000000001	1127240358.58	1127543702.38	-303343.8
2e-07	9.16	1127240257.64	1126763085.14	477000
7.620000000000001e-11	10.46	1127239888.6	1127520980.01	-281000
2.26e-07	9.140000000000001	1127239497.14	1128826032.52	-1590000
2.34e-07	9.140000000000001	1127239362.6	1129287087.2	-2050000
7.409999999999999e-11	10.46	1127220379.28	1127689119.37	-468740.1
2.87e-08	9.460000000000001	1127215863.8	1128664504.7	-1450000
1.15e-10	10.38	1127211582.81	1128817053.82	-1605471.01
1e-07	9.26	1127205341.67	1129111141.27	-1905799.59
1.4e-07	9.210000000000001	1127203274.53	1126955711.33	248000
1.23e-07	9.23	1127202366.25	1129344024.05	-2141657.8
5.35e-08	9.359999999999999	1127197078.86	1127366076.87	-169000
2.48e-08	9.48	1127193911.72	1128489959.13	-1296047.41
1.34e-07	9.220000000000001	1127188687.82	1129350079.23	-2160000
1.43e-10	10.33	1127187088.53	1127994780.34	-807691.8100000001
1.43e-07	9.210000000000001	1127183208.07	1127529088.97	-345880.9
2.23e-07	9.140000000000001	1127181965.06	1126581942.66	600022.4
1.22e-10	10.37	1127169666.27	1129341285.56	-2171619.29
3.91e-09	9.76	1127107012.93	1126923612.22	183400.71
1.91e-10	10.28	1127107012.92	1128448499.13	-1341486.21
2.22e-07	9.140000000000001	1127100483.06	1128133903.35	-1030000
2.03e-10	10.26	1127072188.19	1128144623.18	-1072434.99
9.13e-09	9.630000000000001	1127061470.99	1128935069.09	-1873598.1
9.39e-08	9.27	1127050603.11	1129082557.92	-2031954.81
6.91e-08	9.32	1127048545.6	1128878846.29	-1830300.69
1.96e-07	9.16	1127048512.1	1127624874.71	-576362.61
2.43e-07	9.130000000000001	1127048190.05	1126665018.15	383000
3.65e-08	9.42	1127045881.25	1128989041.64	-1943160.39
2.14e-07	9.15	1127044136.03	1129330437.85	-2290000
5.27e-12	10.82	1127038542.12	1127978059.83	-939517.7
1.45e-07	9.210000000000001	1127038372.77	1127791428.47	-753000
1.88e-07	9.17	1127036380.99	1127982691.09	-946000
1.83e-07	9.17	1127033331.87	1126317803.05	716000
9.13e-08	9.279999999999999	1127010131.28	1128224799.86	-1210000
5.48e-08	9.359999999999999	1127009244.39	1128830563.89	-1821319.5
2.6e-07	9.119999999999999	1127004140.55	1127797065.05	-793000
1.64e-10	10.31	1127002734.67	1129341285.56	-2340000
8.46e-11	10.44	1126999148.36	1127355560.36	-356412
2.61e-08	9.470000000000001	1126991475.8	1129344023.49	-2352547.69
2.22e-08	9.49	1126990892.29	1128648086.4	-1657194.11
7.83e-09	9.65	1126990301.7	1127089146.81	-98800
1.77e-07	9.18	1126988387.91	1126579604.71	409000
1.39e-10	10.34	1126955590.62	1129114816.83	-2160000
2.39e-07	9.130000000000001	1126910950.71	1127535942.41	-624991.7
1.71e-10	10.3	1126910878.97	1127563106.77	-652227.8100000001
3e-08	9.449999999999999	1126848578.76	1129330721.37	-2482142.61
